Time:2026/08/05 16:10:15
Observation Period:20.0s Sampling Interval:1ms
Elapsed Time,CH01,CH02,CH03,CH04,
Unit,[MPa],[MPa],[MPa],[MPa],
0.400,0.00,0.00,0.01,0.00,
0.401,0.00,0.10,0.20,0.00,
0.402,0.00,0.00,0.23,0.00,
0.403,0.00,0.00,0.04,0.00,
0.404,0.00,0.00,0.01,0.00,
0.405,0.00,0.00,0.11,0.00,
0.406,0.00,0.00,0.08,0.00,
0.407,0.00,0.00,0.08,0.00,
0.408,0.00,0.00,0.16,0.00,
0.409,0.00,0.00,0.16,0.00,
0.410,0.00,0.00,0.12,0.00,
0.411,0.00,0.00,0.15,0.00,
0.412,0.00,0.13,0.19,0.00,
0.413,0.00,0.04,0.15,0.00,
0.414,0.00,0.00,0.07,0.00,
0.415,0.05,0.00,0.20,0.00,
0.416,0.00,0.00,0.10,0.00,
0.417,0.00,0.00,0.10,0.00,
0.418,0.00,0.03,0.06,0.00,
0.419,0.07,0.00,0.18,0.00,
0.420,0.03,0.00,0.11,0.00,
0.421,0.04,0.00,0.18,0.00,
0.422,0.00,0.11,0.09,0.00,
0.423,0.11,0.00,0.08,0.00,
0.424,0.01,0.00,0.11,0.00,
0.425,0.00,0.00,0.26,0.02,
0.426,0.01,0.00,0.07,0.00,
0.427,0.01,0.01,0.04,0.00,
0.428,0.01,0.00,0.12,0.00,
0.429,0.00,0.00,0.05,0.00,
0.430,0.00,0.00,0.11,0.00,
0.431,0.03,0.00,0.09,0.00,
0.432,0.07,0.00,0.14,0.00,
0.433,0.00,0.00,0.05,0.00,
0.434,0.00,0.00,0.12,0.00,
0.435,0.00,0.00,0.16,0.03,
0.436,0.00,0.00,0.04,0.00,
0.437,0.00,0.04,0.07,0.00,
0.438,0.00,0.00,0.12,0.00,
0.439,0.15,0.00,0.00,0.00,
0.440,0.01,0.00,0.17,0.00,
0.441,0.04,0.00,0.07,0.00,
0.442,0.00,0.01,0.11,0.00,
0.443,0.00,0.00,0.06,0.00,
0.444,0.00,0.00,0.06,0.00,
0.445,0.00,0.00,0.05,0.00,
0.446,0.00,0.00,0.02,0.00,
0.447,0.00,0.10,0.01,0.00,
0.448,0.00,0.00,0.11,0.00,
0.449,0.09,0.00,0.01,0.00,
0.450,0.00,0.00,0.00,0.00,
0.451,0.00,0.08,0.00,0.08,
0.452,0.00,0.00,0.00,0.00,
0.453,0.00,0.14,0.06,0.00,
0.454,0.00,0.06,0.03,0.00,
0.455,0.00,0.00,0.05,0.00,
0.456,0.02,0.01,0.00,0.00,
0.457,0.02,0.07,0.00,0.00,
0.458,0.00,0.00,0.00,0.05,
0.459,0.00,0.05,0.00,0.00,
0.460,0.00,0.00,0.01,0.00,
0.461,0.00,0.06,0.09,0.00,
0.462,0.00,0.06,0.00,0.16,
0.463,0.00,0.00,0.09,0.00,
0.464,0.01,0.00,0.02,0.02,
0.465,0.00,0.12,0.00,0.00,
0.466,0.03,0.00,0.07,0.11,
0.467,0.11,0.04,0.01,0.02,
0.468,0.04,0.02,0.00,0.04,
0.469,0.04,0.00,0.00,0.00,
0.470,0.01,0.00,0.00,0.07,
0.471,0.00,0.00,0.02,0.00,
0.472,0.00,0.00,0.08,0.00,
0.473,0.00,0.00,0.09,0.00,
0.474,0.02,0.00,0.00,0.00,
0.475,0.00,0.00,0.05,0.00,
0.476,0.05,0.02,0.09,0.00,
0.477,0.00,0.01,0.11,0.00,
0.478,0.00,0.06,0.08,0.00,
0.479,0.00,0.03,0.08,0.00,
0.480,0.00,0.03,0.06,0.00,
0.481,0.00,0.00,0.14,0.05,
0.482,0.06,0.02,0.14,0.05,
0.483,0.07,0.06,0.00,0.08,
0.484,0.00,0.00,0.08,0.07,
0.485,0.07,0.07,0.16,0.07,
0.486,0.10,0.13,0.05,0.00,
0.487,0.00,0.00,0.11,0.00,
0.488,0.00,0.00,0.04,0.11,
0.489,0.00,0.00,0.03,0.01,
0.490,0.13,0.00,0.07,0.04,
0.491,0.03,0.00,0.01,0.00,
0.492,0.07,0.00,0.19,0.05,
0.493,0.02,0.00,0.05,0.00,
0.494,0.15,0.05,0.18,0.00,
0.495,0.10,0.00,0.15,0.00,
0.496,0.11,0.01,0.03,0.01,
0.497,0.10,0.00,0.08,0.00,
0.498,0.06,0.00,0.00,0.00,
0.499,0.00,0.00,0.05,0.00,
0.500,0.01,0.12,0.12,0.00,
0.501,0.10,0.00,0.05,0.00,
0.502,0.00,0.05,0.15,0.00,
0.503,0.03,0.04,0.25,0.00,
0.504,0.07,0.02,0.16,0.00,
0.505,0.00,0.00,0.09,0.00,
0.506,0.06,0.00,0.10,0.00,
0.507,0.11,0.00,0.07,0.00,
0.508,0.09,0.00,0.12,0.00,
0.509,0.07,0.00,0.21,0.00,
0.510,0.15,0.00,0.08,0.08,
0.511,0.11,0.00,0.02,0.00,
0.512,0.00,0.00,0.12,0.01,
0.513,0.04,0.00,0.06,0.10,
0.514,0.00,0.00,0.10,0.00,
0.515,0.00,0.00,0.18,0.10,
0.516,0.00,0.00,0.08,0.03,
0.517,0.00,0.02,0.15,0.07,
0.518,0.14,0.01,0.12,0.06,
0.519,0.00,0.00,0.07,0.01,
0.520,0.00,0.00,0.06,0.09,
0.521,0.00,0.16,0.06,0.02,
0.522,0.00,0.00,0.00,0.09,
0.523,0.06,0.00,0.08,0.12,
0.524,0.00,0.00,0.07,0.18,
0.525,0.00,0.00,0.19,0.09,
